,date,area,l,b,f,op_건강기능식품유통전문판매,op_건강기능식품일반판매업,op_건물위생관리업,op_골프연습장업,op_공연장,op_관광숙박업,op_관광식당,op_국내여행업,op_국외여행업,op_노래연습장업,op_단란주점영업,op_담배도매업,op_담배소매업,op_당구장업,op_대규모점포,op_대기오염물질배출시설설치,op_대중문화예술기획업,op_동물병원,op_동물판매업,op_목욕장업,op_미용업,op_방문판매업,op_비디오물감상실업,op_사료제조업,op_석유판매업,op_세탁업,op_숙박업,op_식품제조가공업,op_식품판매업(기타),op_안경업,op_안전상비의약품,op_약국,op_영화상영업,op_외국인관광도시민박업,op_유료직업소개소,op_유흥주점영업,op_의료기기수리업,op_의료기기판매(임대)업,op_의원,op_이용업,op_인쇄사,op_인터넷컴퓨터게임시설제공,op_일반게임제공업,op_일반여행업,op_일반음식점,op_제과점영업,op_즉석판매제조가공업,op_집단급식소,op_청소년게임제공업,op_체력단련장업,op_체육도장업,op_축산가공업,op_축산판매업,op_통신판매업,op_휴게음식점,opup_건강기능식품유통전문,opup_건강기능식품일반판매,opup_건물위생관리업 건물,opup_골프연습장업,opup_공연장,opup_관광숙박업,opup_관광식당,opup_국내여행업,opup_국외여행업,opup_노래연습장업,opup_단란주점영업 단란주,opup_담배도매업,opup_담배소매업,opup_당구장업,opup_대규모점포 시장,opup_대기오염물질배출시설,opup_대기오염물질배출시설,opup_대중문화예술기획업,opup_동물병원,opup_동물판매업,opup_목욕장업 공동탕업,opup_미용업 기타,opup_미용업 네일아트업,opup_미용업 메이크업업,opup_미용업 일반미용업,opup_미용업 피부미용업,opup_방문판매업,opup_비디오물감상실업,opup_사료제조업 사료제조,opup_석유판매업 일반판매,opup_석유판매업 주유소,opup_세탁업 빨래방업,opup_세탁업 운동화전문세,opup_세탁업 일반세탁업,opup_숙박업 여관업,opup_식품제조가공업 기타,opup_식품제조가공업 식품,opup_식품판매업(기타) ,opup_안경업,opup_안전상비의약품 판매,opup_약국,opup_영화상영업,opup_외국인관광도시민박업,opup_유료직업소개소,opup_유흥주점영업 룸살롱,opup_유흥주점영업 스텐드,opup_의료기기수리업,opup_의료기기판매(임대),opup_의원 의원,opup_의원 치과의원,opup_의원 한의원,opup_이용업 일반이용업,opup_인쇄사,opup_인터넷컴퓨터게임시설,opup_일반게임제공업,opup_일반여행업,opup_일반음식점,opup_일반음식점 감성주점,opup_일반음식점 경양식,opup_일반음식점 기타,opup_일반음식점 김밥(도,opup_일반음식점 까페,opup_일반음식점 분식,opup_일반음식점 뷔페식,opup_일반음식점 식육(숯,opup_일반음식점 외국음식,opup_일반음식점 일식,opup_일반음식점 정종/대,opup_일반음식점 중국식,opup_일반음식점 통닭(치,opup_일반음식점 패밀리레,opup_일반음식점 패스트푸,opup_일반음식점 한식,opup_일반음식점 호프/통,opup_일반음식점 회집,opup_일반음식점 횟집,opup_제과점영업 제과점영,opup_즉석판매제조가공업,opup_즉석판매제조가공업 ,opup_집단급식소 산업체,opup_집단급식소 어린이집,opup_집단급식소 학교,opup_청소년게임제공업,opup_체력단련장업,opup_체육도장업,opup_축산가공업 식육가공,opup_축산판매업 식용란수,opup_축산판매업 식육판매,opup_축산판매업 우유류판,opup_축산판매업 축산물수,opup_축산판매업 축산물유,opup_통신판매업 가전,opup_통신판매업 건강/식,opup_통신판매업 교육/도,opup_통신판매업 기타,opup_통신판매업 레져/여,opup_통신판매업 의류/패,opup_통신판매업 종합몰,opup_휴게음식점 과자점,opup_휴게음식점 기타 휴,opup_휴게음식점 다방,opup_휴게음식점 떡카페,opup_휴게음식점 아이스크,opup_휴게음식점 일반조리,opup_휴게음식점 전통찻집,opup_휴게음식점 커피숍,opup_휴게음식점 패스트푸,opup_휴게음식점 편의점
74,2016-03-01,YN-J,90.0,29.0,17.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
75,2016-04-01,YN-J,90.0,29.0,17.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
76,2016-05-01,YN-J,91.0,29.0,17.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
77,2016-06-01,YN-J,90.0,28.0,17.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
78,2016-07-01,YN-J,91.0,28.0,17.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
79,2016-08-01,YN-J,91.0,28.0,17.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
80,2016-09-01,YN-J,91.0,28.0,17.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
81,2016-10-01,YN-J,90.0,28.0,17.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
82,2016-11-01,YN-J,89.0,30.0,17.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
83,2016-12-01,YN-J,88.0,30.0,17.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,16.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
84,2017-01-01,YN-J,88.0,32.0,18.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,16.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
85,2017-02-01,YN-J,88.0,32.0,18.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,16.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
86,2017-03-01,YN-J,88.0,33.0,19.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,13.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
87,2017-04-01,YN-J,91.0,32.0,19.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,12.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,17.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
88,2017-05-01,YN-J,92.0,33.0,19.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,6.0,0.0,3.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,12.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,18.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
89,2017-06-01,YN-J,90.0,33.0,19.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,3.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,12.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,18.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0
90,2017-07-01,YN-J,91.0,33.0,19.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,1.0,6.0,0.0,3.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,12.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,18.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0
